Id;Point;P;K;Ca;Mg;S;Cu;Zn;Mn;Na;Cd;Cr;Ni;Pb;Al;As;Ba;Categoria
32;point 1;0,0715;0,295;0,335;0,235;0,145;14,825;42,37;176,4;220,55;0,2615;31,705;17,065;12,26;3,3705;13,965;0,1657;Solo
33;point 1;0,026666667;0,14;0,11;0,13;0,02;9,171;28,46;124,8;138,1;0,205;29,55;10,58;6,594;1,716;4,724;918;Solo
34;point 1;0,029666667;0,17;0,67;0,17;0,02;5,445;21,19;313,5;191,1;< 0,2;11,44;7,78;6,329;2,525;1,76;0,1498;Solo
35;point 1;;;;;;;;;;;;;;;;;Solo
37;point 2;0,058333333;0,52;0,29;0,4;0,08;29,12;68,56;378,7;497;0,584;26,01;29,23;16,26;6,961;16,4;0,3299;Solo
38;point 2;0,067;0,52;0,35;0,44;0,12;31,17;70,26;441,5;736,3;0,387;32,89;31,25;17,43;7,861;20,33;0,3632;Solo
39;point 2;0,019666667;0,18;0,11;0,14;0,02;10,46;26,05;157,4;246,5;< 0,2;14,57;10,55;6,844;2,327;5,221;60,52;Solo
40;point 2;0,047333333;0,55;0,305;0,455;0,06;31,395;72,53;311,2;719,8;0,5185;26,935;30,875;18,455;7,695;12,785;155,8;Solo
41;point 3;0,049666667;0,26;0,38;0,41;0,03;30,52;62,2;343,2;399,8;0,436;40,99;31,62;13,78;5,602;1,624;122,4;Solo
42;point 3;0,056333333;0,34;0,45;0,47;0,02;31,59;60,96;370,2;514,6;0,457;31,02;32,93;15,87;6,159;4,312;133;Solo
43;point 3;0,069333333;0,35;0,48;0,48;0,04;32,16;63,01;357,5;531,4;0,314;36,51;32,37;15,33;6,213;5,636;126;Solo
44;point 4;0,039666667;0,24;0,69;0,27;0,08;8,44;27,72;474,1;244,8;0,195;16,65;12,96;6,09;2,826;1,654;94,6;Solo
45;point 4;0,032666667;0,16;0,65;0,21;0,02;6,807;24,29;356;202;< 0,2;12,66;8,008;6,721;2,35;1,642;78,95;Solo
46;point 4;0,057333333;0,3;0,23;0,24;0,03;17,01;36,92;202,5;405,1;0,208;34,01;18,25;10,48;3,594;2,619;94,71;Solo
47;point 4;0,068666667;0,37;0,3;0,32;0,03;22,68;49,94;293,9;427,4;0,285;17,89;23,18;15,82;4,807;5,034;117,8;Solo
48;point 5;0,071;0,21;0,14;0,16;0,03;12,85;35,71;190,3;159,2;0,324;13,17;13,45;8,929;2,43;11,15;62,82;Solo
49;point 5;0,052833333;0,205;0,07;0,145;0,015;10,858;26,15;140,35;202,15;0,3365;19,2;11,645;8,6175;2,288;8,132;57,07;Solo
50;point 5;0,048666667;0,19;0,13;0,14;0,02;10,1;26,89;176,9;187,2;0,392;17,61;11,26;7,73;1,994;7,547;55,43;Solo
51;point 5;0,076333333;0,35;0,28;0,4;0,04;32,9;66,59;458,1;250,9;0,563;48,34;30,81;13,26;5,625;19,63;125,9;Solo
52;point 5;0,042333333;0,28;0,2;0,26;0,04;17,03;47,71;229,8;273,2;0,43;19,51;18,18;10,9;3,288;6,708;79,43;Solo
